"","shape.trait1","resid.trait1","trait1","shape.trait2","resid.trait2","trait2","shape.trait3","resid.trait3","trait3","shape.trait4","resid.trait4","trait4","shape.trait5","resid.trait5","trait5","shape.trait6","resid.trait6","trait6"
"Liza_Minnelli_U226_vid06_clip01_2secs",-1.39347266974106,-0.649909551309831,-2.01678044528714,0.139177823274025,-0.000569058541160163,0.134023268289346,0.859253554051447,0.363740081257332,1.24200657786069,-0.0726458556964793,2.01389756334582,1.89401645723932,-0.440240163467367,1.6040941376698,1.52816230489216,-0.17404454683018,0.67622159187544,0.4940376408863
"Lone_Frank",0.141686157076711,0.434964614449876,0.578222839472998,-0.265313507738434,0.542935189082056,0.289938771749026,-0.183326392725214,-0.0522718000060775,-0.232838802604074,0.227642777794421,-0.116404476599897,0.252937855705442,-0.494056434239998,-0.274497076085145,-0.359569864891185,0.305330987588736,-0.255085227327405,0.0412051506588347
"Lorraine_Bracco_vid01_clip09_2secs",0.266786551581726,0.41064075751056,0.676959701229526,0.000415400841837342,-0.165108723939009,-0.163480317281924,-0.289693437670834,0.532246745201381,0.243654462865672,0.216211068044808,0.338406754938244,0.689124804713751,-0.141915569908404,1.18224827479327,1.1569883290261,0.313555492669376,0.142365877092158,0.446865298442249
"Louisa_Baileche_U227_vid06_clip04_2secs",0.902332744896553,-0.170149682265565,0.721353311617174,0.864684359215729,0.848043663159101,1.67782559131983,0.25126530507083,-0.274260742205351,-0.0134608745466169,-0.141150180723136,0.41369628047865,0.182209480057255,0.588140040393061,0.225191569395011,0.323935129189425,-0.378928514563562,-0.302791980227067,-0.689474725878048
"Louis_Duneton",0.673168853059235,-0.382930364164575,0.283145097373279,0.518874385427545,-0.389874397912941,0.108548009824198,0.573771110839133,-0.298499008434651,0.289834447310211,-0.0246478342308328,0.708380221363675,0.66669640439666,-0.9474346389862,-1.17846400682029,-1.34054529462346,-0.190016180241162,-0.0274955928380411,-0.225621151252399
"Lucy_Feagins",0.138640005064006,0.529053310491666,0.669315048913578,-0.0243954833182589,-1.00915618485761,-1.03130188334421,0.428921258027352,0.468766602774604,0.909992033868045,0.00801516201496562,0.411856218150506,0.423386214661671,0.174274473876138,0.499088871620504,0.527535346706345,0.471323909858419,0.177591575347733,0.639562816029487
"Luis_Ernesto_Derbez_Bautista_vid05_clip01_2secs",0.147012771383898,0.475751152995547,0.624249145546594,0.0925273341762508,1.5895867405427,1.67947797467299,-0.0760435883022311,-1.34334945064451,-1.41496113757341,-0.0319341732814617,0.0521336489997928,-0.00142090647085284,0.431590043218987,0.447929779560651,0.520082558911332,0.351395302420336,-0.874049685429594,-0.531781591547867
"Luis_Fonsi_vid01_clip04_2secs",-0.98557804539819,-1.26750934863388,-2.23313605931013,0.416698392984385,-1.40571618318548,-1.00520011251515,0.624836141464257,-1.1393538768578,-0.499159299833183,-0.0568537955734758,0.550370166172255,0.456217126636801,0.0497129113221491,-0.886409267155501,-0.879120180900006,0.290354462476666,-0.345486917045751,-0.0641449089467375
"Luke_Walton_vid01_clip08_2secs",0.726781522790913,0.306931438874589,1.02574545247287,-0.28625078546929,-0.207413741512671,-0.480472524982433,0.292279348688554,-0.102432309122786,0.200021000513626,-0.0560144953269758,2.17206149566086,2.079275825072,0.019025302862203,1.1949028782974,1.19697952460635,-0.219392649657599,1.29962968098238,1.07218287965409
"Lyle_Lovett_vid02_clip04_2secs",0.075885523001019,0.728480266440406,0.807010691427116,0.373627682051895,-0.553412528827285,-0.194167361834343,-0.197938321103916,0.514683974795965,0.319277247625159,-0.0637227630736977,1.26810951070609,1.16276570494105,-0.104952996566014,-1.82814780883827,-1.84712948127344,-0.234815627640161,-0.4627015465843,-0.705542331358066
