"","age.raw","age.pred","age.resid","makeup.raw","makeup.pred","makeup.resid","trait01.raw","trait01.pred","trait01.resid","trait02.raw","trait02.pred","trait02.resid","trait03.raw","trait03.pred","trait03.resid","trait04.raw","trait04.pred","trait04.resid","trait05.raw","trait05.pred","trait05.resid","glasses.raw","glasses.pred","glasses.resid","glasses.probs","glasses.resid.probs","gender.raw","gender.pred","gender.resid","gender.probs","gender.resid.probs"
"vid21_face01_2s",2.6,1.99251739308394,0.613037842665731,0.2,0.00113214292763997,0.245689949090425,1.02034820729064,0.467810814869058,0.534679514864087,-0.527304218784549,-0.220354951205556,-0.323618359455882,0.0654446843197421,0.265876912585992,-0.0908543111631659,0.987580844666007,-0.000215153125277441,0.989242417352742,1.2455899036376,0.314750213198915,0.962232589479729,0,0,-1.02849740932747,0.919942562162607,-1.03457285392329,1,1,1.06356968216696,0.00675259061473722,1.0091197103329
"vid23_face01_2s",1.44444444444444,1.12441499908832,0.358924542508965,0.888888888888889,0.898913893974304,-0.0259406341697488,-0.587922740722228,-0.367471038086451,-0.215524262629888,0.0586089955033872,-0.0825223760916243,0.135034132212575,0.620250811060997,0.303849830744162,0.441473296971123,-0.810044333808761,0.0187765356440088,-0.870158152726686,-0.434085920949282,-0.143967199045274,-0.292601917140289,0,0,-1.02849740932747,0.99967980605226,-1.01868811760359,0,0,-1.05665024640851,0.757418204297668,-1.08419692816136
"vid23_face02_2s",2.8,2.65998761963021,0.119933123002388,1.4,1.36332482526924,-0.0116938690621229,-0.460108908778455,-0.398235095424768,-0.0561071730066063,-0.457641298015926,-0.583596913484724,0.0814256174031019,-0.0962615319202469,-0.0122032310767309,-0.0879476931323337,0.440887406719495,0.00954215749466089,0.410810796884526,-0.23267068802546,0.196555104644697,-0.406561554311325,0,0,-1.02849740932747,0.999989143910146,-1.0186435702279,0,0,-1.05665024640851,0.980221107272498,-1.01001899946005
"vid23_face03_2s",2,3.82179458388113,-1.88649355826956,0.8,0.79502462546761,-0.00368038772405755,-0.908897540633885,-0.538148716118366,-0.361165536808429,-0.997419018460895,0.373989999103388,-1.34249144648943,0.551142479908676,-0.437141772006217,0.811003720434669,0.329707457474451,0.0239764715683948,0.252679498800425,-1.25919328316401,-0.686050562943181,-0.615658551348858,1,1,1.11111111111111,0.00144639738209111,1.02419511835173,0,1,-16.7307692269658,0.238713780325327,-12.9549222278635
"vid23_face04_2s",2,2.33456487377443,-0.342146124778394,0.6,-0.174888896162663,0.834011481976382,0.217172139171297,0.407423672973592,-0.206462134814793,-0.278901427595799,-0.0387586873447,-0.242883274865717,0.2626013182032,0.214550185318765,0.136685786774998,-1.43799689213638,-0.0180676863635723,-1.37826532655283,-0.0863087918498002,-0.411869920624237,0.303293426538604,0,0,-1.02849740932747,0.997018873071759,-1.01907573801992,1,1,1.06356968216696,0.00804640914460086,1.00923314085734
"vid23_face05_2s",3.8,2.75234251397713,1.02403129755756,0.6,0.357486010262921,0.264433782820488,-0.914636378926053,0.16117416643391,-1.08530380517023,0.0798448396515507,-0.439215209493476,0.485604226224295,1.82152325085347,0.272562631943491,1.66126656461968,-0.471792160475297,-0.00739519933065478,-0.446775625969998,-0.410921046360882,-0.730209009424342,0.273511048627483,0,0,-1.02849740932747,0.993201171891386,-1.01964595014924,0,0,-1.05665024640851,0.480642541059256,-2.18499440439393
"vid24_face01_2s",2,2.75459064959562,-0.77830317871666,1.2,0.7179350736196,0.478796244890643,-1.0193883174215,-0.51260571239381,-0.497896094641122,-0.142071373903502,-0.0695046831420315,-0.0776654642183627,1.28193659547558,0.126922570626602,1.2078932683151,-0.818663926571243,-0.0134644845908614,-0.773905468203122,0.0407603569552385,-0.306222883343355,0.332517528786283,0,0,-1.02849740932747,0.997210489159435,-1.01904755847549,0,0,-1.05665024640851,0.69538500518084,-1.15229632829807
"vid25_face01_2s",3,2.2571334976885,0.738259037999999,1.6,0.911509077761563,0.671695131436897,0.555513197026412,-0.247005182508854,0.804159679940291,-0.398401537531484,0.205545726831482,-0.587949483827631,-0.0471293311690518,-0.18042004094658,0.0607624403685545,0.00363947433805578,0.0185390477926512,-0.0557018537710106,0.250338299051029,0.470948047538361,-0.177681702925232,0,0,-1.02849740932747,0.989030551593393,-1.0202883732458,0,0,-1.05665024640851,0.902096847319327,-1.02113410570625
"vid26_face01_2s",2,3.23422409496543,-1.27635716146035,0.6,0.342415707496545,0.280557210637339,-0.142974979831205,0.523332819756003,-0.685680239574888,-1.81614624489822,0.070799180654865,-1.88128279698845,-1.00725261879175,-0.887671072954412,-0.48069522306999,1.03600795746913,-0.0160963707168669,1.08932730781837,-0.177910595776449,-0.282834323011997,0.0921852513886985,0,0,-1.02849740932747,0.964178813466409,-1.02457627754004,1,1,1.06356968216696,0.28969889190556,1.13614597584262
"vid27_face01_2s",4.8,3.85930936825994,0.874550885248698,0.2,0.145043279641154,0.0917221847520615,1.17500923352411,-0.215878759213112,1.39168020796591,0.400484662423336,0.793848426538528,-0.332242765369282,0.0275169111691875,0.058296413262681,-0.00590234941827596,0.802111645612789,-0.0871893473358578,1.08667933434474,0.0133977258664641,-0.991719300742891,0.94002768354797,0,1,-9.9999999999998,0.00729891059227687,-40.5059643019627,1,0,18.6521738809219,0.653399057371929,5.39641887294187
"vid28_face01_2s",3.6,3.6201894556336,-0.077145694740537,0.6,0.288122355919512,0.338644625910791,1.11661452972148,-0.223950745972138,1.34157768340107,-0.52228526530071,0.304797655415624,-0.803472449582175,0.325040216741632,-0.859395147537538,0.834859343548557,-1.26648779052697,-0.0122819864970771,-1.22557571378939,-0.671391492311707,-0.438675154342584,-0.256963595810063,1,1,1.11111111111111,0.272450984039408,1.19577747895753,1,1,1.06356968216696,0.0461138942871727,1.01328318315642
"vid29_face01_2s",2.4,2.12382936324384,0.276682777456224,1.2,0.986870700863288,0.191067176638779,-0.699921654272733,-0.444075030159052,-0.248829534632203,-0.106898224161145,0.343656373408242,-0.423963636268793,-0.410308947992314,-0.278027422802817,-0.244637330826473,0.715908951750174,-0.0215183471060075,0.786864686034477,0.479607914424894,0.214689363459901,0.288921996959889,0,0,-1.02849740932747,0.999969107987663,-1.01864645235826,0,0,-1.05665024640851,0.979190098177642,-1.01011817764004
