"cfs.glasses" "cfs.gender" "cfs.age" "cfs.makeup" "trait.factor01" "trait.factor02" "trait.factor03" "trait.factor04" "trait.factor05"
"37" -0.16096528703779 0 -0.0477741093539127 0 -0.00885702278743979 0 0.0161773773551004 0 0
"38" 0 0 0.019712831044936 -0.0020669669931264 0 0 -0.0190073511668094 0 -0.0146372970373953
"39" 0 -0.00188675225463425 0 0 0 0 -0.00367866859195801 0 0
"40" 0 0 0 0.0011935940418556 0 0.0240606294060184 0.00882540687095673 0 0
"41" 0.0914186545137277 0 0.0187186611621989 0.00505551341871184 -0.0134551522681193 0 0.0122914137322573 0 0
"42" 0 0.0385210375590922 -0.00408587040207134 -0.00610896502177941 0.0150255988032512 -0.00658644315632311 0.0490680192689975 0 0
"43" 0 0 0.000116600078332798 0 -0.0137889476851159 0 -0.00191891107806007 0 0.0150618440185873
"44" 0 0 0 0 0.0050022001105132 0 -0.0110899546723925 0 -0.0311834960085782
"45" 0.407359762794198 0 -0.0140960528070467 0 0 9.99374389920606e-18 0 0 0.012264316007641
"46" 0.207505373732895 0.0664785463097238 0 0 0 0.0332607492911617 0 0 0
"47" 0 0 -0.0195763068756844 0 0 0 0.0205341809324309 0 0
"48" 0 -0.0299778573903403 0 0 -0.0256003939973469 0.00901667245364592 0.0120906235078372 0 0.00468026697136949
"49" 0 0 0 0 0 0 0.0213931017404431 0 0
"50" 0 0 0.0234496453362795 0 0 0.0132502155292946 0.0176372436582693 0 0
"51" -0.0827549906923062 0.0035286602855114 0 0 0 -0.0108077382115646 -0.0346700633115868 0 0
"52" 0 0 0 0 0 0 -0.0321469622705617 0 0
"53" 0 0 0.0408455263077684 0.0132418811496281 -0.0198459741998185 0 -0.0119486880061548 0 0
"54" 0 0 0.00560836754843112 0.000691381100399535 0 0 0.0186912511135 0 -0.000208478984251442
"55" 0 0 0 0 0 -0.0101775788172655 0.0365987894430998 0 -0.000736387315723085
"56" 0 0 0.00173112054559014 -0.00316867242394627 0 0.00269532084150692 0.0243081635759737 0 0
"57" 0 0 0.00202184453886706 0 0 0.00389447146042842 -0.03745982581455 0 -0.00934664411276084
"58" 0 0 0 -0.00210963618244787 0 0 -0.00889439351388837 0 0
"59" 0 0 0 0 0 0 -0.0230537399790028 0 0
"60" 0 0 0 0 -0.0232261778264324 0 0.0299543941409613 0 -0.011194715041321
"61" -0.0790172482565125 0 0 0 0 0 0 0 0
"62" 0 0 0.0283057169271831 0.0112529824419524 -0.0141173635352454 0 0.0300128881616471 0 0
"63" 0 0 0 0 0 0 -0.00794371566282599 0 -0.00931601520644793
"64" 0 0 0 0 0 -0.0219988093565281 -0.00669366512853308 0 0
"65" 0 0 0 0 0 0 -0.00533453411609353 0 0
