"cfs.glasses" "cfs.gender" "cfs.age" "cfs.makeup" "trait.factor01" "trait.factor02" "trait.factor03" "trait.factor04" "trait.factor05"
"35" 0.280888901845457 0 0 -0.00213835323679642 -0.0233160809788838 0 0.0204894722482257 0 0
"36" 0.29408704432278 -0.343000050658788 0 0.0486721515731968 0.0690597860723972 0 0.0150393454292924 0 0
"37" 0.397645604287923 0.121908380657637 0 -0.017643323778632 0 -0.0147492690860411 0.000565052780045563 0 0
"38" 0 0 -0.0202036033026867 0 0 0 -0.00365146803241213 0 0
"39" -0.520702738551953 0 -0.0806171175517889 -0.0018890987002548 0.0587255925185147 0 0.0304246473628604 0 0
"40" 0 0.0226723216176135 -0.0690104765113853 0 -0.0707246809452289 -0.0985857238446845 -0.0149806142681868 0 0
"41" 0 0 0.0341830371264977 0 0 -0.00799956659044457 -0.011549785009754 0 -0.0246519062741279
"42" 0 0 0.0919241988429771 0.0168879441600758 0.0455056361780423 0.0118077748902243 0 0 -0.0233884827040787
"43" 0 0 -0.00128986276155572 -0.0141579118645527 0 0 0.00914813555193162 0 0.0208962756019241
"44" -0.116144039105643 0 -0.0518215498624726 -0.015810595708729 -0.0563176518784171 -0.0642049428839051 0.0606020596306829 0 0
"45" 0.191823498085755 0.044184110057958 0.0303006551281151 -0.00250800663216314 -0.0227504306194034 0.0253286659266544 -3.63291913537608e-06 0 -0.018963821425056
"46" 0 -0.171707258123613 0.0259351765699107 0.0208858452287719 0 0 0 0 0
"47" 0 0 0.0123169370045443 0.0115284886060485 -0.00294049210160789 0 -0.0222638501444889 0 0.00498815034948898
"48" 0.0397104615947578 0 -0.0446842173289637 0 -0.0335186218745843 -0.0348580413039449 -0.0547512478717421 0 0.026706641077256
"49" -0.633347526395562 0 0.0398180466636574 0 -0.0208781471805927 0 -0.0435402201871324 0 -0.0192393708266427
"50" 0 0 -0.0248136060106437 -0.00849610350255958 0 0 -0.0209242044176374 0 0
"51" -0.0868872552168825 0 0 -0.0155924576565374 0.042031000619472 0 0 0 0
"52" 0 0 0.00696734841142731 0.0152307818102427 0 0 -0.00606388274923444 0 0.037973455271424
"53" 0 0 -0.037328460530073 0.0153771542287839 0 -0.0105815621444311 0.0392633341278999 0 0
"54" 0 0 0 0.000912926437904462 0 0.020366346498619 0.0470523643515473 0 0
"55" 0 0 -0.154258595987971 0 0 -0.0359098949326319 0.0585071394729673 0 0
"56" -0.054508149229885 0 -0.0117452568922114 0.0209795880281329 0.0174817996447131 0 -0.036559655484558 0 0
"57" 0.450772698676995 0 -0.00491025215422141 -0.00641276004963013 0.0490130186487927 0.00463688839277523 0.0448569983134048 0 -0.0530266109807956
"58" 0.169909482944252 0 0.0171373739749597 0 0.0393010410942139 0 -0.0132157210843569 0 0
"59" 0 0 0.0609042214474492 0 0.00798143502973507 -0.0142969742368876 -0.0192949103076698 0 0
"60" 0.193472852380218 0 0 0 0 0 0 0 0.000108225396110397
"61" 0 0 0.0395072964494343 -0.00303740592633773 0.0565873439819179 0 0 0 -0.0155868453544823
"62" 0 0 0.0299678830565463 0 -0.0307316347142657 0 -0.0224815389195167 0 0
"63" 0 0 0.0656921970082456 0 0.00892948181939051 0.003932211387044 -0.016650625748241 0 -0.0236641289447837
"64" -0.156922480266746 -0.0356289954217656 -0.00132032527566645 0 0.0589226719129848 0 0.0373774911049189 0 0.0160314907925197
"65" -0.28410631354941 0 0 -0.0101131516404913 0 0 0.0270044454191334 0 0
"66" 0 0 0.0237793960789328 0 0 -0.00244698596402679 -0.0320509504575522 0 -0.0641418648792444
"67" 0 0 0.042405709837359 0 0 0 -6.05761719413244e-05 0 -0.0324959767363162
